Time,Behavior
1.63,L
1.65,L
1.68,L
1.7,L
1.73,L
1.75,L
1.78,L
1.8,L
1.83,L
1.85,L
1.88,L
1.9,L
1.93,L
1.95,L
1.98,L
2,L
2.03,L
2.05,L
2.08,L
2.1,L
2.13,L
2.15,L
2.18,L
2.2,L
2.23,L
2.25,L
2.28,L
2.3,L
2.33,L
2.35,L
2.38,L
2.4,L
2.43,L
2.45,L
2.48,L
2.5,L
2.53,L
2.55,L
2.58,L
2.6,L
2.63,L
2.65,L
2.68,L
2.7,L
2.73,L
2.75,L
2.78,L
2.8,L
2.83,L
2.85,L
2.88,L
2.9,L
2.93,L
2.95,L
2.98,L
3,L
3.03,L
3.05,L
3.08,L
3.1,L
3.13,L
3.15,L
3.18,L
3.2,L
3.23,L
3.25,L
3.28,L
3.3,L
3.33,L
3.35,L
3.38,L
3.4,L
3.43,L
3.45,L
3.48,L
3.5,L
3.53,L
3.55,L
3.58,L
3.6,L
3.63,L
3.65,L
3.68,L
3.7,L
3.73,L
3.75,L
3.78,L
3.8,L
3.83,L
3.85,L
3.88,L
3.9,L
3.93,L
3.95,L
3.98,L
4,L
4.03,L
4.05,L
4.08,L
4.1,L
4.13,L
4.15,L
4.18,L
4.2,L
4.23,L
4.25,L
4.28,L
4.3,L
4.33,L
4.35,L
4.38,L
4.4,L
4.43,L
4.45,L
4.48,L
4.5,L
4.53,L
4.55,L
4.58,L
4.6,L
4.63,L
4.65,L
4.68,L
4.7,L
4.73,L
4.75,L
4.78,L
4.8,L
4.83,L
4.85,L
4.88,L
4.9,L
4.93,L
4.95,L
4.98,S
5,S
5.03,S
5.05,S
5.08,S
5.1,S
5.13,S
5.15,S
5.18,S
5.2,S
5.23,S
5.25,S
5.28,S
5.3,S
5.33,S
5.35,S
5.38,S
5.4,S
5.43,S
5.45,S
5.48,S
5.5,S
5.53,S
5.55,S
5.58,S
5.6,S
5.63,S
5.65,S
5.68,S
5.7,S
5.73,S
5.75,S
5.78,S
5.8,S
5.83,S
5.85,S
5.88,S
5.9,S
5.93,S
5.95,S
5.98,S
6,S
6.03,S
6.05,S
6.08,S
6.1,S
6.13,S
6.15,S
6.18,S
6.2,S
6.23,S
6.25,S
6.28,S
6.3,S
6.33,S
6.35,S
6.38,S
6.4,S
6.43,S
6.45,S
6.48,S
6.5,S
6.53,S
6.55,S
6.58,S
6.6,S
6.63,S
6.65,S
6.68,S
6.7,S
6.73,S
6.75,S
6.78,S
6.8,S
6.83,S
6.85,S
6.88,S
6.9,S
6.93,S
6.95,S
6.98,S
7,S
7.03,S
7.05,S
7.08,S
7.1,S
7.13,S
7.15,S
7.18,S
7.2,S
7.23,S
7.25,S
7.28,S
7.3,S
7.33,S
7.35,S
7.38,S
7.4,S
7.43,S
7.45,S
7.48,S
7.5,S
7.53,S
7.55,S
7.58,S
7.6,S
7.63,S
7.65,L
7.68,L
7.7,L
7.73,L
7.75,L
7.78,L
7.8,L
7.83,L
7.85,L
7.88,L
7.9,L
7.93,L
7.95,L
7.98,L
8,L
8.03,L
8.05,L
8.08,L
8.1,L
8.13,L
8.15,L
8.18,L
8.2,L
8.23,L
8.25,L
8.28,L
8.3,L
8.33,L
8.35,L
8.38,L
8.4,L
8.43,L
8.45,L
8.48,L
8.5,L
8.53,L
8.55,L
8.58,L
8.6,L
8.63,L
8.65,L
8.68,L
8.7,L
8.73,L
8.75,L
8.78,L
8.8,L
8.83,L
8.85,L
8.88,L
8.9,L
8.93,L
8.95,L
8.98,L
9,L
9.03,L
9.05,L
9.08,L
9.1,L
9.13,L
9.15,L
9.18,L
9.2,L
9.23,L
9.25,L
9.28,L
9.3,L
9.33,L
9.35,L
9.38,L
9.4,L
9.43,L
9.45,L
9.48,L
9.5,L
9.53,L
9.55,L
9.58,L
9.6,L
9.63,L
9.65,L
9.68,L
9.7,L
9.73,L
9.75,L
9.78,L
9.8,L
9.83,L
9.85,L
9.88,L
9.9,L
9.93,L
9.95,L
9.98,L
10,L
10.03,L
10.05,L
10.08,L
10.1,L
10.13,L
10.15,L
10.18,L
10.2,L
10.23,L
10.25,L
10.28,L
10.3,L
10.33,L
10.35,L
10.38,L
10.4,L
10.43,L
10.45,L
10.48,L
10.5,L
10.53,L
10.55,L
10.58,L
10.6,L
10.63,L
10.65,L
10.68,L
10.7,L
10.73,L
10.75,L
10.78,L
10.8,L
10.83,L
10.85,L
10.88,L
10.9,L
10.93,L
10.95,L
10.98,L
11,L
11.03,L
11.05,L
11.08,L
11.1,L
11.13,L
11.15,L
11.18,L
11.2,L
11.23,L
11.25,L
11.28,L
11.3,L
11.33,L
11.35,L
11.38,L
11.4,L
11.43,L
11.45,L
11.48,L
11.5,L
11.53,L
11.55,L
11.58,L
11.6,L
11.63,L
11.65,L
11.68,L
11.7,L
11.73,L
11.75,L
11.78,L
11.8,L
11.83,L
11.85,L
11.88,L
11.9,L
11.93,L
11.95,L
11.98,L
12,L
12.03,L
12.05,L
12.08,L
12.1,L
12.13,L
12.15,L
12.18,L
12.2,L
12.23,O
12.25,O
12.28,O
12.3,O
12.33,O
12.35,O
12.38,O
12.4,O
12.43,O
12.45,O
12.48,O
12.5,O
12.53,O
12.55,O
12.58,O
12.6,O
12.63,O
12.65,O
12.68,O
12.7,O
12.73,O
12.75,O
12.78,O
12.8,O
12.83,O
12.85,O
12.88,O
12.9,O
12.93,O
12.95,O
12.98,O
13,O
13.03,O
13.05,O
13.08,O
13.1,O
13.13,O
13.15,O
13.18,O
13.2,O
13.23,O
13.25,O
13.28,O
13.3,O
13.33,O
13.35,O
13.38,O
13.4,O
13.43,O
13.45,O
13.48,O
13.5,O
13.53,O
13.55,O
13.58,O
13.6,O
13.63,O
13.65,O
13.68,O
13.7,O
13.73,O
13.75,O
13.78,O
13.8,O
13.83,O
13.85,O
13.88,O
13.9,O
13.93,O
13.95,O
13.98,O
14,O
14.03,O
14.05,O
14.08,O
14.1,O
14.13,O
14.15,O
14.18,O
14.2,O
14.23,O
14.25,O
14.28,O
14.3,O
14.33,O
14.35,O
14.38,O
14.4,O
14.43,O
14.45,O
14.48,O
14.5,O
14.53,O
14.55,O
14.58,O
14.6,O
14.63,O
14.65,O
14.68,O
14.7,O
14.73,O
14.75,O
14.78,O
14.8,O
14.83,O
14.85,O
14.88,O
14.9,O
14.93,O
14.95,O
14.98,O
15,O
15.03,O
15.05,O
15.08,O
15.1,O
15.13,O
15.15,O
15.18,O
15.2,O
15.23,O
15.25,O
15.28,O
15.3,O
15.33,O
15.35,O
15.38,O
15.4,O
15.43,O
15.45,O
15.48,O
15.5,O
15.53,O
15.55,O
15.58,O
15.6,O
15.63,O
15.65,O
15.68,O
15.7,O
15.73,O
15.75,O
15.78,O
15.8,O
15.83,O
15.85,O
15.88,O
15.9,O
15.93,O
15.95,O
15.98,O
16,O
16.03,O
16.05,O
16.08,O
16.1,O
16.13,O
16.15,O
16.18,O
16.2,O
16.23,O
16.25,O
16.28,O
16.3,O
16.33,O
16.35,O
16.38,O
16.4,O
16.43,O
16.45,O
16.48,O
16.5,O
16.53,O
16.55,O
16.58,O
16.6,O
16.63,O
16.65,O
16.68,O
16.7,O
16.73,O
16.75,O
16.78,O
16.8,O
16.83,O
16.85,O
16.88,O
16.9,O
16.93,O
16.95,O
16.98,O
17,O
17.03,O
17.05,O
17.08,O
17.1,O
17.13,O
17.15,O
17.18,O
17.2,O
17.23,O
17.25,O
17.28,O
17.3,O
17.33,O
17.35,O
17.38,O
17.4,O
17.43,O
17.45,O
17.48,O
17.5,O
17.53,O
17.55,O
17.58,O
17.6,O
17.63,O
17.65,O
17.68,O
17.7,O
17.73,O
17.75,O
17.78,O
17.8,O
17.83,O
17.85,O
17.88,O
17.9,O
17.93,O
17.95,S
17.98,S
18,S
18.03,S
18.05,S
18.08,S
18.1,S
18.13,S
18.15,S
18.18,S
18.2,S
18.23,S
18.25,S
18.28,S
18.3,S
18.33,S
18.35,S
18.38,S
18.4,S
18.43,S
18.45,S
18.48,S
18.5,S
18.53,S
18.55,S
18.58,S
18.6,S
18.63,S
18.65,S
18.68,S
18.7,S
18.73,S
18.75,S
18.78,S
18.8,S
18.83,S
18.85,S
18.88,S
18.9,S
18.93,S
18.95,S
18.98,S
19,S
19.03,S
19.05,S
19.08,S
19.1,S
19.13,S
19.15,S
19.18,S
19.2,S
19.23,S
19.25,S
19.28,S
19.3,S
19.33,S
19.35,S
19.38,S
19.4,S
19.43,S
19.45,S
19.48,S
19.5,S
19.53,S
19.55,S
19.58,S
19.6,S
19.63,S
19.65,S
19.68,S
19.7,S
19.73,S
19.75,S
19.78,S
19.8,S
19.83,S
19.85,S
19.88,S
19.9,S
19.93,S
19.95,S
19.98,L
20,L
20.03,L
20.05,L
20.08,L
20.1,L
20.13,L
20.15,L
20.18,L
20.2,L
20.23,L
20.25,L
20.28,L
20.3,L
20.33,L
20.35,L
20.38,L
20.4,L
20.43,L
20.45,L
20.48,L
20.5,L
20.53,L
20.55,L
20.58,L
20.6,L
20.63,L
20.65,L
20.68,L
20.7,L
20.73,L
20.75,L
20.78,L
20.8,L
20.83,L
20.85,L
20.88,L
20.9,L
20.93,L
20.95,L
20.98,L
21,L
21.03,L
21.05,L
21.08,L
21.1,L
21.13,L
21.15,L
21.18,L
21.2,L
21.23,L
21.25,L
21.28,L
21.3,L
21.33,L
21.35,L
21.38,L
21.4,L
21.43,L
21.45,L
21.48,L
21.5,L
21.53,L
21.55,L
21.58,L
21.6,L
21.63,L
21.65,L
21.68,L
21.7,L
21.73,L
21.75,L
21.78,L
21.8,L
21.83,L
21.85,L
21.88,L
21.9,L
21.93,S
21.95,S
21.98,S
22,S
22.03,S
22.05,S
22.08,S
22.1,S
22.13,S
22.15,S
22.18,S
22.2,S
22.23,S
22.25,S
22.28,S
22.3,S
22.33,S
22.35,S
22.38,S
22.4,S
22.43,S
22.45,S
22.48,S
22.5,S
22.53,S
22.55,S
22.58,S
22.6,S
22.63,S
22.65,S
22.68,S
22.7,S
22.73,L
22.75,L
22.78,L
22.8,L
22.83,L
22.85,L
22.88,L
22.9,L
22.93,L
22.95,L
22.98,L
23,L
23.03,L
23.05,L
23.08,L
23.1,L
23.13,L
23.15,L
23.18,L
23.2,L
23.23,L
23.25,L
23.28,L
23.3,L
23.33,L
23.35,L
23.38,L
23.4,L
23.43,L
23.45,L
23.48,L
23.5,L
23.53,L
23.55,L
23.58,L
23.6,L
23.63,L
23.65,L
23.68,L
23.7,L
23.73,L
23.75,L
23.78,L
23.8,L
23.83,L
23.85,L
23.88,L
23.9,L
23.93,L
23.95,L
23.98,L
24,L
24.03,L
24.05,O
24.08,O
24.1,O
24.13,O
24.15,O
24.18,O
24.2,O
